"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13991","Add new user","chromium","2026-06-15","passed","2026-06-15","","Addnewuser.spec.js","",""
"","5962","Login to grocery app","chromium","2026-06-15","passed","2026-06-15","","login.spec.js","",""
